,0,1
121,2021010601,105.0
122,2021010602,556.0
123,2021010603,844.0
124,2021010604,894.0
125,2021010605,644.0
126,2021010606,252.0
127,2021010607,-302.0
128,2021010608,-782.0
129,2021010609,-1115.0
130,2021010610,-1210.0
131,2021010611,-1079.0
132,2021010612,-761.0
133,2021010613,-264.0
134,2021010614,305.0
135,2021010615,756.0
136,2021010616,1020.0
137,2021010617,994.0
138,2021010618,666.0
139,2021010619,217.0
140,2021010620,-362.0
141,2021010621,-818.0
142,2021010622,-1084.0
143,2021010623,-1114.0
144,2021010700,-914.0
145,2021010701,-589.0
146,2021010702,-106.0
147,2021010703,361.0
148,2021010704,681.0
149,2021010705,800.0
150,2021010706,634.0
151,2021010707,295.0
152,2021010708,-109.0
153,2021010709,-606.0
154,2021010710,-895.0
155,2021010711,-951.0
156,2021010712,-830.0
157,2021010713,-514.0
158,2021010714,-115.0
159,2021010715,402.0
160,2021010716,809.0
161,2021010717,1047.0
162,2021010718,970.0
163,2021010719,688.0
164,2021010720,229.0
165,2021010721,-317.0
166,2021010722,-744.0
167,2021010723,-1006.0
168,2021010800,-1044.0
169,2021010801,-904.0
170,2021010802,-582.0
171,2021010803,-195.0
172,2021010804,227.0
173,2021010805,538.0
174,2021010806,687.0
175,2021010807,580.0
176,2021010808,257.0
177,2021010809,-152.0
178,2021010810,-550.0
179,2021010811,-862.0
180,2021010812,-1025.0
181,2021010813,-976.0
182,2021010814,-758.0
183,2021010815,-435.0
184,2021010816,19.0
185,2021010817,443.0
186,2021010818,690.0
187,2021010819,703.0
188,2021010820,440.0
189,2021010821,-59.0
190,2021010822,-591.0
191,2021010823,-1059.0
192,2021010900,-1382.0
193,2021010901,-1452.0
194,2021010902,-1317.0
195,2021010903,-1008.0
196,2021010904,-524.0
197,2021010905,6.0
198,2021010906,475.0
199,2021010907,721.0
200,2021010908,730.0
201,2021010909,480.0
202,2021010910,99.0
203,2021010911,-375.0
204,2021010912,-740.0
205,2021010913,-955.0
