,0,1
1,yyyymmddhh,(mm)
2,2022010100,-358
3,2022010101,-881
4,2022010102,-1344
5,2022010103,-1563
6,2022010104,-1593
7,2022010105,-1320
8,2022010106,-612
9,2022010107,108
10,2022010108,769
11,2022010109,1188
12,2022010110,1304
13,2022010111,1035
14,2022010112,561
15,2022010113,10
16,2022010114,-485
17,2022010115,-812
18,2022010116,-954
19,2022010117,-755
20,2022010118,-407
21,2022010119,129
22,2022010120,658
23,2022010121,1017
24,2022010122,1048
25,2022010123,702
26,2022010200,129
27,2022010201,-561
28,2022010202,-1048
29,2022010203,-1528
30,2022010204,-1596
31,2022010205,-1605
32,2022010206,-1382
33,2022010207,-572
34,2022010208,222
35,2022010209,934
36,2022010210,1361
37,2022010211,1439
38,2022010212,1129
39,2022010213,610
40,2022010214,35
41,2022010215,-477
42,2022010216,-783
43,2022010217,-907
44,2022010218,-711
45,2022010219,-293
46,2022010220,273
47,2022010221,822
48,2022010222,1153
49,2022010223,1129
50,2022010300,724
51,2022010301,93
52,2022010302,-647
53,2022010303,-1151
54,2022010304,-1585
55,2022010305,-1663
56,2022010306,-1667
57,2022010307,-1315
58,2022010308,-467
59,2022010309,350
60,2022010310,1032
61,2022010311,1412
62,2022010312,1416
63,2022010313,1037
64,2022010314,493
65,2022010315,-106
66,2022010316,-618
67,2022010317,-891
68,2022010318,-977
69,2022010319,-716
70,2022010320,-243
71,2022010321,342
72,2022010322,879
73,2022010323,1158
74,2022010400,1077
75,2022010401,584
76,2022010402,-110
77,2022010403,-807
78,2022010404,-1352
79,2022010405,-1624
80,2022010406,-1671
81,2022010407,-1674
82,2022010408,-1275
83,2022010409,-367
84,2022010410,453
85,2022010411,1127
86,2022010412,1446
87,2022010413,1376
88,2022010414,964
89,2022010415,419
90,2022010416,-164
91,2022010417,-623
92,2022010418,-887
93,2022010419,-895
94,2022010420,-576
95,2022010421,-70
96,2022010422,516
97,2022010423,1031
98,2022010500,1261
99,2022010501,1109
100,2022010502,584
101,2022010503,-115
102,2022010504,-794
103,2022010505,-1294
104,2022010506,-1603
105,2022010507,-1670
106,2022010508,-1519
107,2022010509,-970
108,2022010510,-62
109,2022010511,701
110,2022010512,1262
111,2022010513,1492
112,2022010514,1332
113,2022010515,880
114,2022010516,312
115,2022010517,-244
116,2022010518,-678
